PLAYER_ID,PLAYER_NAME,AGE,POSS,GP,MIN,season,position,three_pt_fgm_75,three_pt_fga_75,fg3m_uncontested_75,fg3a_uncontested_75,fg3m_spotup_75,fg3m_movement_75,fg3m_onball_75,fg3m_transition_75,pct_fg3a_uncontested,fg3_pct
201988,Patty Mills,35.0,869,32,13.0,2023-24,Guard,2.0713463751438432,7.508630609896432,1.1219792865362486,3.7974683544303796,1.1219792865362486,0.2589182968929804,0.08630609896432681,0.2589182968929804,0.5057471264367817,0.27586206896551724
202066,Garrett Temple,38.0,612,27,10.7,2023-24,Guard-Forward,1.4705882352941175,4.901960784313726,1.1029411764705883,2.573529411764706,0.9803921568627452,0.0,0.0,0.2450980392156863,0.525,0.29999999999999993
202083,Wesley Matthews,37.0,863,36,11.5,2023-24,Guard,2.085747392815759,5.996523754345308,1.9119351100811124,4.779837775202781,1.4774044032444957,0.0,0.0,0.4345307068366165,0.7971014492753622,0.34782608695652173
202330,Gordon Hayward,34.0,2617,51,24.4,2023-24,Forward,1.0603744745892243,2.5792892625143296,0.7451280091708062,1.6048910966755827,0.6018341612533435,0.0573175391669851,0.02865876958349255,0.315246465418418,0.6222222222222222,0.4111111111111111
202331,Paul George,34.0,5080,74,33.8,2023-24,Forward,3.5875984251968505,8.666338582677165,0.797244094488189,1.830708661417323,1.6535433070866141,0.5462598425196851,0.9744094488188976,0.3543307086614173,0.2112436115843271,0.41396933560477006
202397,Ish Smith,35.0,1549,43,17.2,2023-24,Guard,0.19367333763718528,0.3389283408650743,0.04841833440929632,0.04841833440929632,0.09683666881859264,0.04841833440929632,0.0,0.0,0.14285714285714285,0.5714285714285714
202681,Kyrie Irving,32.0,4258,58,35.0,2023-24,Guard,3.047205260685768,7.3978393612024425,1.3034288398309066,2.6773132926256458,0.9687646782527007,0.38750587130108033,0.36989196806012214,0.7397839361202443,0.3619047619047619,0.41190476190476194
202684,Tristan Thompson,33.0,1117,49,11.2,2023-24,Center-Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
202685,Jonas Valanciunas,32.0,3959,82,23.5,2023-24,Center,0.7009345794392523,2.2733013387218994,0.5304369790351099,1.7996968931548372,0.3599393786309674,0.0,0.0,0.11366506693609497,0.7916666666666667,0.30833333333333335
202687,Bismack Biyombo,31.0,1642,40,19.8,2023-24,Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
202691,Klay Thompson,34.0,4858,77,29.7,2023-24,Guard,4.137505146150679,10.637093454096336,1.0189378344997941,2.6862906545903664,1.0034993824619185,2.0687525730753396,0.27789213668176205,0.7719226018937835,0.2525399129172714,0.3889695210449927
202692,Alec Burks,32.0,2547,66,18.4,2023-24,Guard,3.651354534746761,9.717314487632509,1.354534746760895,3.504122497055359,1.9140164899882213,0.441696113074205,0.7656065959952887,0.4711425206124853,0.3606060606060606,0.3757575757575758
202693,Markieff Morris,34.0,479,26,8.3,2023-24,Forward,2.348643006263048,6.576200417536535,1.5657620041753653,4.227557411273486,0.0,0.0,0.0,0.0,0.6428571428571428,0.3571428571428571
202694,Marcus Morris Sr.,34.0,1675,49,16.7,2023-24,Forward,2.1492537313432836,5.2835820895522385,0.7611940298507462,1.791044776119403,1.164179104477612,0.3134328358208955,0.0,0.26865671641791045,0.33898305084745767,0.4067796610169492
202695,Kawhi Leonard,33.0,4747,68,34.3,2023-24,Forward,2.2119233199915733,5.308615967979777,0.7425742574257426,1.7379397514219506,0.0,0.25279123657046554,0.5687802822835475,0.4107857594270065,0.32738095238095233,0.4166666666666666
202696,Nikola Vucevic,33.0,5287,76,34.3,2023-24,Center,1.3050879515793454,4.440136183090599,1.191602042746359,3.9010781161339136,0.0,0.6383582371855495,0.0,0.1986003404577265,0.878594249201278,0.2939297124600639
202699,Tobias Harris,31.0,4880,70,33.8,2023-24,Forward,1.3985655737704918,3.9651639344262297,0.7838114754098361,2.028688524590164,0.8913934426229508,0.2151639344262295,0.04610655737704918,0.2151639344262295,0.5116279069767442,0.35271317829457366
202704,Reggie Jackson,34.0,3780,82,22.2,2023-24,Guard,2.0238095238095237,5.555555555555555,0.7936507936507936,2.1825396825396823,1.0317460317460319,0.23809523809523808,0.5357142857142857,0.21825396825396826,0.39285714285714285,0.36428571428571427
202709,Cory Joseph,32.0,633,26,11.4,2023-24,Guard,1.5402843601895735,4.85781990521327,0.9478672985781991,2.6066350710900474,0.9478672985781991,0.0,0.0,0.0,0.5365853658536586,0.3170731707317073
202710,Jimmy Butler,34.0,4131,60,34.0,2023-24,Forward,1.0893246187363834,2.632534495279593,0.635439360929557,1.1801016702977487,0.6717501815541032,0.10893246187363835,0.10893246187363835,0.16339869281045752,0.4482758620689656,0.4137931034482759
202711,Bojan Bogdanovic,35.0,3068,57,25.9,2023-24,Forward,3.2513037809647978,8.164928292046936,1.3934159061277704,3.5202086049543677,1.1978487614080835,0.9289439374185137,0.4155801825293351,0.6844850065189048,0.4311377245508982,0.3982035928143713
202722,Davis Bertans,31.0,1395,43,15.7,2023-24,Forward,4.086021505376344,10.698924731182796,1.1290322580645162,2.4731182795698925,1.7204301075268817,1.2903225806451613,0.0,0.5913978494623656,0.23115577889447236,0.38190954773869346
202738,Isaiah Thomas,35.0,42,6,3.2,2023-24,Guard,3.571428571428571,7.142857142857142,1.7857142857142856,3.571428571428571,0.0,0.0,0.0,0.0,0.5,0.5
203076,Anthony Davis,31.0,5743,76,35.5,2023-24,Forward-Center,0.37872192234024027,1.3973532996691624,0.20895002611875327,0.8880376110047015,0.20895002611875327,0.03917812989726624,0.03917812989726624,0.0652968831621104,0.6355140186915889,0.27102803738317754
203078,Bradley Beal,31.0,3682,53,33.3,2023-24,Guard,2.057305812058664,4.7868006518196635,1.1203150461705595,2.7906029331884845,0.0,0.20369364475828353,0.30554046713742533,0.24443237370994025,0.5829787234042553,0.42978723404255315
203081,Damian Lillard,33.0,5486,73,35.3,2023-24,Guard,3.007655851257747,8.407765220561428,1.0526795479402113,2.63853445133066,0.6562158220925993,0.3964637258476121,1.3261028071454612,0.5195041924899745,0.31382113821138213,0.3577235772357724
203083,Andre Drummond,30.0,2760,79,17.1,2023-24,Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
203084,Harrison Barnes,32.0,4996,82,29.0,2023-24,Forward,2.2367894315452364,5.779623698959168,1.4861889511609288,3.3927141713370697,1.426140912730184,0.3302642113690953,0.10508406725380304,0.3602882305844676,0.587012987012987,0.38701298701298703
203095,Evan Fournier,31.0,1221,32,18.1,2023-24,Guard-Forward,2.027027027027027,7.985257985257986,1.3513513513513513,4.054054054054054,0.7371007371007371,0.36855036855036855,0.12285012285012285,0.6756756756756757,0.5076923076923077,0.25384615384615383
203109,Jae Crowder,33.0,2441,50,23.1,2023-24,Forward,1.782056534207292,5.069643588693159,0.9524784924211388,2.9188857025809094,1.1982793936911103,0.1536255632937321,0.12290045063498567,0.27652601392871773,0.5757575757575757,0.35151515151515145
203110,Draymond Green,34.0,3211,55,27.1,2023-24,Forward,1.1912176891933979,3.0130800373715356,1.0744316412332606,2.499221426346933,0.9342883836810962,0.04671441918405481,0.0,0.16350046714419184,0.8294573643410853,0.39534883720930236
203114,Khris Middleton,32.0,3172,55,27.0,2023-24,Forward,2.2225725094577555,5.84016393442623,0.8511979823455234,2.057061790668348,0.8275535939470366,0.3073770491803279,0.21279949558638084,0.37831021437578816,0.3522267206477733,0.3805668016194332
